method,evaluation,scenario,window_start_h,horizon_h,region,status,solver_success,solver_mode,runtime_s,mip_gap,cost_CNY,carbon_tCO2,peak_net_import_MW,load_std_MW,renewable_utilization_ratio,curtailment_MWh,terminal_SOC_MWh,initial_SOC_MWh,grid_import_peak_margin_MW,max_charge_MW,max_discharge_MW
no_storage_renewable_first,rolling_block,observed,1344,168,RegionD,deterministic baseline,True,baseline,0.0000000000,,-9056898.4739824142,0.0000000000,-63.1852000000,31.5697895985,0.7702324584,30880.7575970136,405.0000000000,405.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1512,168,RegionD,deterministic baseline,True,baseline,0.0000000000,,-9024764.6843982898,0.0000000000,-60.4204000000,31.9060890597,0.7721620804,30621.4164000000,405.0000000000,405.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1680,168,RegionD,deterministic baseline,True,baseline,0.0000000000,,-8985728.8889272045,0.0000000000,-52.8940004266,29.1349916424,0.7706792684,30820.7063208532,405.0000000000,405.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1848,168,RegionD,deterministic baseline,True,baseline,0.0000000000,,-8990603.7693150844,0.0000000000,-66.0524000000,29.3299454573,0.7720821720,30632.1560817065,405.0000000000,405.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,2016,168,RegionD,deterministic baseline,True,baseline,0.0000000000,,-9046916.5705558024,0.0000000000,-56.2859995734,31.6406251969,0.7679381072,31189.1183965870,405.0000000000,405.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,2184,168,RegionD,deterministic baseline,True,baseline,0.0000000000,,-9186945.7534608264,0.0000000000,-84.1644004266,28.5894236976,0.7688296018,31069.3015182935,405.0000000000,405.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,2352,55,RegionD,deterministic baseline,True,baseline,0.0000000000,,-2949112.2407926843,0.0000000000,-78.6731995734,27.9176487930,0.7782500515,9652.3450641069,405.0000000000,405.0000000000,510.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,0,168,RegionE,deterministic baseline,True,baseline,0.0000000000,,-9939873.6746822298,0.0000000000,-76.8400000000,41.0291786215,0.7969059988,27295.8337545829,370.0000000000,370.0000000000,370.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,168,168,RegionE,deterministic baseline,True,baseline,0.0000000000,,-9998842.3912145197,0.0000000000,-74.7400004166,42.0849145450,0.7962945870,27378.0075049995,370.0000000000,370.0000000000,370.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,336,168,RegionE,deterministic baseline,True,baseline,0.0000000000,,-10114477.6609578114,0.0000000000,-76.7200004166,41.1759819652,0.7953632627,27503.1774995834,370.0000000000,370.0000000000,370.0000000000,0.0000000000,0.0000000000
